p_date,ticker_code,EPS_Q_EST,REV_Q_EST,EPS_A_EST,REV_A_EST,EPS_Q_EST_FP,REV_Q_EST_FP,EPS_A_EST_FP,REV_A_EST_FP,EPS_LT,PRICE_LT,REV_Q_ACT,NI_Q_ACT,REV_A_ACT,NI_A_ACT,ACT_CLOSE_PRICE,ACT_OPEN_PRICE,ACT_HIGH_PRICE,ACT_LOW_PRICE,ACT_VOLUME
4/30/18,GOOGL,8.33186325,33059.70833,65.3875,209281.5714,0,0,44561,44561,15.763114,1262.038095,22433.25,4869.5,111024,12662,1018.58,1034.42,1038.37,1018.3,1724.632
5/1/18,GOOGL,8.33186325,33059.70833,65.3875,209281.5714,0,0,0,0,15.763114,1262.038095,22433.25,4869.5,111024,12662,1040.75,1016.3,1041.73,1010.61,1766.256
5/2/18,GOOGL,8.33186325,33059.70833,55.135252,180468.8261,0,0,44196,44196,15.763114,1262.038095,22433.25,4869.5,111024,12662,1026.05,1034,1043.98,1023.16,1734.872
5/3/18,GOOGL,8.33186325,33059.70833,55.135252,180468.8261,0,0,0,0,15.763114,1262.038095,22433.25,4869.5,111024,12662,1026.3,1025.37,1030.69,1007.89,1964.066
5/4/18,GOOGL,8.33186325,33059.70833,55.135252,180468.8261,0,0,0,0,15.763114,1260.62439,22433.25,4869.5,111024,12662,1051,1019.61,1051.879,1018.05,1844.6
5/7/18,GOOGL,8.33186325,33059.70833,66.06125,180468.8261,0,0,44561,0,15.763114,1260.62439,22433.25,4869.5,111024,12662,1059.46,1053.89,1065,1050.27,1719.971
5/8/18,GOOGL,8.33186325,33059.70833,66.06125,180468.8261,0,0,0,0,15.763114,1260.62439,22433.25,4869.5,111024,12662,1058.59,1064.62,1065.23,1051.641,1301.524
5/9/18,GOOGL,8.33186325,33059.70833,55.144221,182536.8182,0,0,44196,44196,15.763114,1260.62439,22433.25,4869.5,111024,12662,1088.95,1064.1,1094,1062.11,2357.979
5/10/18,GOOGL,8.33186325,33059.70833,55.144221,182536.8182,0,0,0,0,15.763114,1260.62439,22433.25,4869.5,111024,12662,1105.47,1095,1109.41,1093.88,1820.676
5/11/18,GOOGL,8.33186325,33059.70833,55.144221,182536.8182,0,0,0,0,15.763114,1260.62439,22433.25,4869.5,111024,12662,1103.38,1100.41,1109.01,1097.22,1525.218
5/14/18,GOOGL,8.33186325,33059.70833,47.3025,182536.8182,0,0,43830,0,15.763114,1260.62439,22433.25,4869.5,111024,12662,1106.6,1105.57,1118.15,1104.8,1966.893
5/15/18,GOOGL,8.33186325,33059.70833,47.3025,182536.8182,0,0,0,0,15.763114,1260.62439,22433.25,4869.5,111024,12662,1084.87,1096.9,1099.12,1078.78,1786.926
5/16/18,GOOGL,8.33186325,33059.70833,56.538896,182544.4348,0,0,44196,44196,15.763114,1260.868293,22433.25,4869.5,111024,12662,1084.09,1085.09,1094.382,1081.63,1281.406
5/17/18,GOOGL,8.33186325,33059.70833,56.538896,182544.4348,0,0,0,0,15.763114,1260.868293,22433.25,4869.5,111024,12662,1081.26,1081.46,1091,1076.42,1286.907
5/18/18,GOOGL,8.33186325,33059.70833,56.538896,182544.4348,0,0,0,0,15.763114,1260.868293,22433.25,4869.5,111024,12662,1069.64,1066,1073.73,1064.68,1774.149
5/21/18,GOOGL,8.33186325,33059.70833,56.538896,182544.4348,0,0,0,0,15.763114,1260.868293,22433.25,4869.5,111024,12662,1084.01,1079,1093.3,1078,1258.999
5/22/18,GOOGL,8.33186325,33059.70833,56.538896,182544.4348,0,0,0,0,15.763114,1260.868293,22433.25,4869.5,111024,12662,1075.31,1089.8,1091.8,1072.26,1111.299
5/23/18,GOOGL,8.33186325,33059.70833,56.538896,182544.4348,0,0,0,0,15.763114,1260.868293,22433.25,4869.5,111024,12662,1085.96,1070,1088,1066.96,1186.998
5/24/18,GOOGL,8.33186325,33059.70833,56.538896,182544.4348,0,0,0,0,15.763114,1260.868293,22433.25,4869.5,111024,12662,1085.45,1086.9,1087.12,1072.3,1030.194
5/25/18,GOOGL,8.33186325,33059.70833,56.538896,182544.4348,0,0,0,0,15.763114,1260.868293,22433.25,4869.5,111024,12662,1084.08,1086.55,1089.57,1082.6,1111.161
5/28/18,GOOGL,8.33186325,33059.70833,56.538896,182544.4348,0,0,0,0,15.763114,1260.868293,22433.25,4869.5,111024,12662,1084.08,1086.55,1089.57,1082.6,0
5/29/18,GOOGL,8.33186325,33059.70833,56.538896,182544.4348,0,0,0,0,15.763114,1260.868293,22433.25,4869.5,111024,12662,1068.07,1076,1081.34,1063.08,1803.805
5/30/18,GOOGL,8.33186325,33059.70833,56.538896,182544.4348,0,0,0,0,15.763114,1260.868293,22433.25,4869.5,111024,12662,1077.47,1073.48,1078.99,1066.55,1434.282
5/31/18,GOOGL,8.33186325,33059.70833,56.574493,182858.75,0,0,44196,44196,15.763114,1260.868293,22433.25,4869.5,111024,12662,1100,1082,1110,1078,3968.362
6/1/18,GOOGL,8.33186325,33059.70833,56.574493,182858.75,0,0,0,0,15.763114,1260.868293,22433.25,4869.5,111024,12662,1135,1112.87,1138.16,1112.01,3160.1
6/4/18,GOOGL,8.33186325,33059.70833,56.574493,182858.75,0,0,0,0,15.763114,1260.868293,22433.25,4869.5,111024,12662,1153.04,1138.5,1157.857,1137,2237.701
